potID,treatment,moistureL,whc,replicate,WSA
167,sdbs,5,70,b,54.83870968
168,mp,4,75,c,58.62068966
169,all,8,55,b,64.51612903
170,sdbs,12,35,a,53.125
171,n,15,20,b,48.48484848
172,mp,2,85,b,60
173,sdbs,6,65,c,39.39393939
174,mp,3,80,a,58.06451613
175,all,6,65,b,59.375
176,n,11,40,c,46.875
177,all,1,90,b,40.625
178,ctrl,3,80,a,34.375
179,ctrl,6,65,b,36.66666667
180,nacl,8,55,a,51.61290323
181,cu,14,25,b,37.5
182,mp,15,20,a,42.42424242
183,ctrl,6,65,c,34.375
184,n,8,55,a,59.375
185,n,9,50,c,61.29032258
186,all,8,55,a,56.66666667
187,n,8,55,c,54.83870968
188,all,12,35,c,39.39393939
189,ctrl,15,20,c,60
190,sdbs,10,45,b,45.45454545
191,mp,9,50,a,48.38709677
192,nacl,8,55,c,54.83870968
193,n,10,45,b,45.45454545
194,mp,13,30,b,34.375
195,mp,6,65,c,65.625
196,all,4,75,b,44.82758621
197,cu,13,30,c,66.66666667
198,nacl,3,80,a,55.17241379
199,ctrl,5,70,b,24.24242424
200,n,12,35,c,45.16129032
201,all,10,45,a,43.75
202,all,14,25,c,25
203,n,3,80,c,30.55555556
204,all,11,40,a,46.875
205,nacl,7,60,b,52.94117647
206,nacl,14,25,a,61.29032258
207,all,15,20,a,48.38709677
208,all,7,60,b,54.54545455
209,cu,4,75,a,58.06451613
210,mp,3,80,c,33.33333333
211,cu,8,55,c,43.75
212,ctrl,13,30,a,48.27586207
213,all,7,60,c,48.38709677
214,ctrl,4,75,a,37.5
215,n,10,45,c,50
216,nacl,8,55,b,50
217,mp,12,35,c,26.66666667
218,cu,5,70,b,62.5
219,ctrl,11,40,c,56.25
220,n,3,80,a,44.11764706
221,all,13,30,b,34.21052632
222,all,1,90,a,57.14285714
223,nacl,15,20,b,50
224,all,4,75,a,60
225,ctrl,10,45,a,39.39393939
226,cu,12,35,c,48.38709677
