"","potID","moistureL","whc","tr","cop_gS","log_cop_gS"
"191",118,10,45,"cu",19408237471.0134,23.6889634248015
"192",190,10,45,"sdbs",18816809957.5204,23.6580164539479
"193",193,10,45,"n",17609505479.1918,23.5917046772426
"194",201,10,45,"all",12156724951.3761,23.2211483475521
"195",215,10,45,"n",13563472629.0319,23.3306461802587
"196",225,10,45,"ctrl",19568347776.3273,23.6971791884401
"197",231,10,45,"sdbs",19665731796.2638,23.702143455271
"198",232,10,45,"nacl",17026558515.5864,23.5580402275579
"199",233,10,45,"mp",18597173537.6922,23.6462754457793
"200",234,10,45,"all",22731591937.6209,23.8470215092093
"201",242,10,45,"cu",17543778887.4119,23.5879652446659
"202",255,10,45,"mp",21165313545.6277,23.7756295251553
"203",259,10,45,"ctrl",17109023020.966,23.5628718233352
"204",262,10,45,"all",18980532094.2372,23.6666796642051
"205",270,10,45,"mp",17460780116.2506,23.5832230665574
"206",271,10,45,"ctrl",14452548985.7448,23.3941366363457
"207",6,11,40,"nacl",13698035521.3604,23.3405182668974
"208",36,11,40,"mp",13581585267.8909,23.3319806877492
"209",48,11,40,"nacl",15480797499.8475,23.462866221859
"210",50,11,40,"nacl",13748414239.268,23.344189326355
"211",57,11,40,"sdbs",11352735014.5546,23.1527245222905
"212",99,11,40,"all",24620939593.0242,23.9268631207854
"213",101,11,40,"all",17688893096.3274,23.5962027708781
"214",103,11,40,"sdbs",15495403657.1394,23.4638092786464
"215",109,11,40,"n",17861921914.2011,23.6059370165829
"216",117,11,40,"n",21559100688.0144,23.7940638700585
"217",119,11,40,"ctrl",15829597826.3517,23.4851473047271
"218",125,11,40,"cu",22897153517.8906,23.8542784392519
"219",134,11,40,"cu",21101524679.0589,23.7726111344889
"220",148,11,40,"cu",14037605258.1454,23.3650056553369
"221",159,11,40,"sdbs",16562998429.0752,23.530437034071
"222",176,11,40,"n",15493293070.9338,23.4636730621267
"223",204,11,40,"all",12625054518.6773,23.2589491304096
"224",219,11,40,"ctrl",20274078268.4167,23.7326089744307
"225",248,11,40,"mp",19319241924.2986,23.6843674270882
"226",251,11,40,"ctrl",18966654045.7319,23.6659482239832
"227",295,11,40,"mp",18612445651.5674,23.6470963149559
"228",2,12,35,"sdbs",13125714066.2514,23.2978390489919
"229",81,12,35,"cu",23885006885.1359,23.8965167720502
"230",111,12,35,"nacl",21593131596.9189,23.7956411194455
"231",126,12,35,"sdbs",18800058225.1235,23.6571258038586
"232",133,12,35,"nacl",17175248931.1827,23.5667351687596
"233",138,12,35,"all",12036990025.1391,23.2112502476604
"234",140,12,35,"ctrl",15852063726.6851,23.4865655323703
"235",143,12,35,"n",23561914913.8071,23.8828974706021
"236",170,12,35,"sdbs",19437864162.6451,23.6904887617661
"237",188,12,35,"all",17881104716.958,23.6070103898479
"238",200,12,35,"n",14951108853.567,23.4280513048397
"239",217,12,35,"mp",15470667615.3884,23.4622116560875
"240",226,12,35,"cu",18907132097.8711,23.6628050475055
"241",237,12,35,"ctrl",17363086599.8623,23.5776123299054
"242",247,12,35,"all",22385550979.2133,23.8316815421052
"243",268,12,35,"nacl",19586218604.8446,23.6980920234635
"244",283,12,35,"mp",20755296830.0567,23.7560673199659
"245",287,12,35,"n",22609643260.1393,23.8416423451436
"246",300,12,35,"ctrl",21173747334.6535,23.7760279179851
"247",307,12,35,"cu",19694637685.2608,23.7036122369198
"248",312,12,35,"mp",16355067767.7775,23.5178036414792
"249",10,13,30,"cu",17386759689.2759,23.5789748161091
"250",33,13,30,"nacl",15888158317.9937,23.4888399088266
"251",34,13,30,"nacl",14636009680.7445,23.4067507455369
"252",43,13,30,"cu",16142966707.799,23.5047502937892
"253",44,13,30,"all",18674016221.004,23.6503988876489
"254",54,13,30,"n",14990543674.1402,23.4306854175253
"255",62,13,30,"sdbs",15765359764.593,23.4810809501457
"256",85,13,30,"sdbs",27037462615.5039,24.0204892455341
"257",116,13,30,"mp",22969249361.2271,23.8574221740202
"258",124,13,30,"ctrl",7120075449.60403,22.6861841591686
"259",141,13,30,"all",22859069864.4007,23.8526138061389
"260",160,13,30,"nacl",16439605704.1888,23.5229592423567
"261",194,13,30,"mp",15008801832.229,23.4319026547706
"262",197,13,30,"cu",17658880465.8237,23.5945046363315
"263",212,13,30,"ctrl",20611251631.8826,23.7491029593538
"264",221,13,30,"all",22085774036.9302,23.8181995294645
"265",249,13,30,"ctrl",17674237373.4538,23.5953739006103
"266",253,13,30,"n",19870467688.2433,23.7125004306384
"267",263,13,30,"mp",17684746820.3648,23.5959683434349
"268",293,13,30,"n",18687159403.322,23.651102462022
"269",313,13,30,"sdbs",18528077213.7244,23.6425531057357
"270",11,14,25,"sdbs",16830649468.2459,23.5464674343182
"271",16,14,25,"all",18851357626.3513,23.659850770865
"272",21,14,25,"n",14388472194.2513,23.3896931808576
"273",22,14,25,"nacl",15133314314.9317,23.4401643966022
"274",32,14,25,"cu",17305467173.8195,23.5742883101339
"275",37,14,25,"n",18637070598.821,23.6484184771378
"276",58,14,25,"all",16077767655.6596,23.5007032636755
"277",64,14,25,"ctrl",15380265951.9177,23.4563510929367
"278",75,14,25,"mp",15125667083.7423,23.439658944601
"279",88,14,25,"ctrl",26659849978.2249,24.0064245244578
"280",127,14,25,"mp",17714130735.633,23.5976285046629
"281",144,14,25,"sdbs",18327047321.582,23.631643801348
"282",161,14,25,"n",15578404978.3171,23.469151495917
"283",166,14,25,"cu",23094988545.0211,23.862881484835
"284",181,14,25,"cu",19965636808.8202,23.7172784732124
"285",202,14,25,"all",23087264461.6351,23.8625469804332
"286",206,14,25,"nacl",17237579876.736,23.5703577139484
"287",229,14,25,"sdbs",17803840061.4439,23.6026800047662
"288",236,14,25,"mp",20740604416.6569,23.7553591818813
"289",281,14,25,"nacl",20098514502.0404,23.7239117439092
"290",290,14,25,"ctrl",24491623166.9126,23.9215969844774
